date,page_path,page_title,sessions,pageviews,avg_session_duration,bounce_rate,new_users,conversions,revenue
2026-04-15,/blog/ai-automation,AI自動化ガイド,1200,1562,00:04:45,0.34,868,9,0
2026-04-15,/contact,お問い合わせ,262,290,00:02:08,0.67,177,29,116000
2026-04-15,/case-studies,事例紹介,378,568,00:05:28,0.28,249,5,20000
2026-04-16,/,ホーム,1460,2215,00:02:32,0.57,956,17,68000
2026-04-16,/services,サービス一覧,505,720,00:04:05,0.40,330,12,48000
2026-04-16,/blog/ai-automation,AI自動化ガイド,1350,1758,00:04:48,0.33,975,10,0
2026-04-16,/contact,お問い合わせ,278,308,00:02:15,0.65,188,31,124000
2026-04-16,/case-studies,事例紹介,392,590,00:05:35,0.27,258,6,24000
2026-04-17,/,ホーム,1220,1848,00:02:20,0.61,798,13,52000
2026-04-17,/services,サービス一覧,418,596,00:03:48,0.44,273,9,36000
2026-04-17,/blog/ai-automation,AI自動化ガイド,1580,2058,00:04:52,0.33,1140,11,0
2026-04-17,/contact,お問い合わせ,228,252,00:02:02,0.70,154,24,96000
2026-04-17,/case-studies,事例紹介,342,515,00:05:18,0.30,225,4,16000
2026-04-18,/,ホーム,980,1478,00:02:05,0.64,640,10,40000
2026-04-18,/services,サービス一覧,335,478,00:03:32,0.48,218,6,24000
2026-04-18,/blog/ai-automation,AI自動化ガイド,2380,3120,00:05:22,0.27,1745,15,0
2026-04-18,/contact,お問い合わせ,188,208,00:01:50,0.73,127,20,80000
2026-04-18,/case-studies,事例紹介,288,432,00:05:02,0.35,188,3,12000
2026-04-19,/,ホーム,870,1312,00:02:00,0.66,568,8,32000
2026-04-19,/services,サービス一覧,298,425,00:03:26,0.51,195,5,20000
2026-04-19,/blog/ai-automation,AI自動化ガイド,2150,2820,00:05:18,0.28,1575,13,0
2026-04-19,/contact,お問い合わせ,172,190,00:01:46,0.75,116,18,72000
2026-04-19,/case-studies,事例紹介,262,392,00:04:55,0.38,172,2,8000
2026-04-20,/,ホーム,780,1172,00:01:56,0.68,510,7,28000
2026-04-20,/services,サービス一覧,268,382,00:03:22,0.53,175,4,16000
2026-04-20,/blog/ai-automation,AI自動化ガイド,1950,2552,00:05:12,0.30,1430,12,0
2026-04-20,/contact,お問い合わせ,155,172,00:01:42,0.77,105,16,64000
2026-04-20,/case-studies,事例紹介,238,356,00:04:50,0.40,155,1,4000
2026-04-21,/,ホーム,1410,2140,00:02:30,0.58,922,16,64000
2026-04-21,/services,サービス一覧,485,692,00:04:02,0.41,317,11,44000
2026-04-21,/blog/ai-automation,AI自動化ガイド,1420,1848,00:04:50,0.33,1025,10,0
2026-04-21,/contact,お問い合わせ,270,298,00:02:12,0.66,182,30,120000
2026-04-21,/case-studies,事例紹介,385,578,00:05:32,0.28,253,5,20000
2026-04-22,/,ホーム,1495,2270,00:02:35,0.57,978,18,72000
2026-04-22,/services,サービス一覧,515,738,00:04:08,0.39,337,13,52000
2026-04-22,/blog/ai-automation,AI自動化ガイド,1620,2110,00:04:55,0.32,1168,12,0
2026-04-22,/contact,お問い合わせ,290,322,00:02:18,0.64,196,33,132000
2026-04-22,/case-studies,事例紹介,405,610,00:05:38,0.26,266,6,24000
2026-04-23,/,ホーム,1280,1940,00:02:22,0.60,837,14,56000
2026-04-23,/services,サービス一覧,438,625,00:03:52,0.43,286,9,36000
2026-04-23,/blog/ai-automation,AI自動化ガイド,1750,2280,00:04:58,0.32,1260,12,0
2026-04-23,/contact,お問い合わせ,242,268,00:02:06,0.69,163,26,104000
2026-04-23,/case-studies,事例紹介,358,538,00:05:22,0.29,235,4,16000
2026-04-24,/,ホーム,1080,1632,00:02:10,0.63,705,11,44000
2026-04-24,/services,サービス一覧,368,525,00:03:42,0.45,240,8,32000
2026-04-24,/blog/ai-automation,AI自動化ガイド,1920,2502,00:05:02,0.31,1388,13,0
2026-04-24,/contact,お問い合わせ,215,238,00:01:56,0.71,145,23,92000
2026-04-24,/case-studies,事例紹介,325,488,00:05:12,0.32,214,4,16000
2026-04-25,/,ホーム,940,1415,00:02:04,0.65,614,9,36000
2026-04-25,/services,サービス一覧,320,456,00:03:32,0.49,209,6,24000
2026-04-25,/blog/ai-automation,AI自動化ガイド,2480,3248,00:05:28,0.26,1818,16,0
2026-04-25,/contact,お問い合わせ,195,216,00:01:52,0.73,132,21,84000
2026-04-25,/case-studies,事例紹介,298,448,00:05:05,0.34,195,3,12000
2026-04-26,/,ホーム,850,1278,00:02:00,0.67,555,8,32000
2026-04-26,/services,サービス一覧,290,413,00:03:28,0.52,189,5,20000
2026-04-26,/blog/ai-automation,AI自動化ガイド,2220,2905,00:05:20,0.28,1628,14,0
2026-04-26,/contact,お問い合わせ,178,198,00:01:48,0.75,120,19,76000
2026-04-26,/case-studies,事例紹介,272,408,00:04:58,0.37,178,2,8000
2026-04-27,/,ホーム,760,1140,00:01:55,0.69,496,7,28000
2026-04-27,/services,サービス一覧,260,370,00:03:24,0.54,170,4,16000
2026-04-27,/blog/ai-automation,AI自動化ガイド,2020,2646,00:05:14,0.30,1482,13,0
2026-04-27,/contact,お問い合わせ,162,180,00:01:44,0.77,110,17,68000
2026-04-27,/case-studies,事例紹介,248,372,00:04:52,0.39,162,2,8000
